model,pretrained,held_out_corruption,policy,selected_prompt_id,n_severities,accuracy,ece,nll,brier,aurc,risk_at_80
ViT-B-32,openai,defocus_blur,default,p00,5,0.8063800000000001,0.04706074898332355,0.5939718346402785,0.27096700107530536,0.05088121449241976,0.10085
ViT-B-32,openai,defocus_blur,stability_loco,p03,5,0.8162200000000001,0.06105165937602516,0.5732746351546372,0.26236721899778076,0.048458884307923375,0.09462499999999999
ViT-B-32,openai,defocus_blur,clean_selected,p03,5,0.8162200000000001,0.06105165937602516,0.5732746351546372,0.26236721899778076,0.048458884307923375,0.09462499999999999
ViT-B-32,openai,defocus_blur,oracle_upper_bound,p04,5,0.81766,0.06799560297161338,0.5735974330999704,0.26171687048767395,0.04747158600950332,0.094625
ViT-B-32,openai,defocus_blur,probability_ensemble,ensemble,5,0.82226,0.11283165540307753,0.6055013236679236,0.2687078821421306,0.04761895927490302,0.092975
ViT-B-32,openai,elastic_transform,default,p00,5,0.74022,0.03562042426645752,0.7758020898934771,0.35262053992145576,0.08806012975327522,0.16555
ViT-B-32,openai,elastic_transform,stability_loco,p03,5,0.75076,0.05135360796809192,0.7572670743498502,0.3449786189952685,0.08539877219280244,0.15875
ViT-B-32,openai,elastic_transform,clean_selected,p03,5,0.75076,0.05135360796809192,0.7572670743498502,0.3449786189952685,0.08539877219280244,0.15875
ViT-B-32,openai,elastic_transform,oracle_upper_bound,p03,5,0.75076,0.05135360796809192,0.7572670743498502,0.3449786189952685,0.08539877219280244,0.15875
ViT-B-32,openai,elastic_transform,probability_ensemble,ensemble,5,0.75464,0.10154787574023003,0.7877281708320766,0.35109496827092423,0.08481214828882576,0.15505
ViT-B-32,openai,fog,default,p00,5,0.80536,0.054141781331300674,0.583113480123349,0.26629422198030633,0.0490867144504892,0.09712499999999999
ViT-B-32,openai,fog,stability_loco,p03,5,0.8169000000000001,0.06629794444084164,0.560943973338126,0.2585935002848293,0.04737012573256928,0.0941
ViT-B-32,openai,fog,clean_selected,p03,5,0.8169000000000001,0.06629794444084164,0.560943973338126,0.2585935002848293,0.04737012573256928,0.0941
ViT-B-32,openai,fog,oracle_upper_bound,p04,5,0.8185600000000001,0.0743638958701491,0.5660581305882513,0.25820008696232527,0.04619490886014403,0.09207499999999999
ViT-B-32,openai,fog,probability_ensemble,ensemble,5,0.82506,0.12032979743987315,0.5969073367923287,0.2647361744001128,0.045341720707355385,0.08935
ViT-B-32,openai,frost,default,p00,5,0.78286,0.050981132517755004,0.6455923153719965,0.2978989367987408,0.0577395187893945,0.11845000000000001
ViT-B-32,openai,frost,stability_loco,p03,5,0.7985,0.06982800719887013,0.6183348116625551,0.28708376846203953,0.05429661836165058,0.110375
ViT-B-32,openai,frost,clean_selected,p03,5,0.7985,0.06982800719887013,0.6183348116625551,0.28708376846203953,0.05429661836165058,0.110375
ViT-B-32,openai,frost,oracle_upper_bound,p01,5,0.8086,0.10056859269589184,0.6270659895368531,0.2856616085884796,0.052083252559038465,0.10415
ViT-B-32,openai,frost,probability_ensemble,ensemble,5,0.8074,0.1246538339978456,0.6526052096419802,0.29196558891734126,0.05134480790652762,0.10347499999999998
ViT-B-32,openai,gaussian_noise,default,p00,5,0.51416,0.05589900413244956,1.3555428450575424,0.5919108217483338,0.27205809305098183,0.4121499999999999
ViT-B-32,openai,gaussian_noise,stability_loco,p03,5,0.54172,0.03433049027442926,1.2977607816943932,0.569576326718256,0.24836531063079442,0.380675
ViT-B-32,openai,gaussian_noise,clean_selected,p03,5,0.54172,0.03433049027442926,1.2977607816943932,0.569576326718256,0.24836531063079442,0.380675
ViT-B-32,openai,gaussian_noise,oracle_upper_bound,p03,5,0.54172,0.03433049027442926,1.2977607816943932,0.569576326718256,0.24836531063079442,0.380675
ViT-B-32,openai,gaussian_noise,probability_ensemble,ensemble,5,0.54014,0.05731525374859568,1.3036221783748263,0.570666078553946,0.25206433885119217,0.38499999999999995
ViT-B-32,openai,glass_blur,default,p00,5,0.49908,0.03602836815237992,1.4436143221444093,0.6190589474970789,0.26687660662179435,0.42745
ViT-B-32,openai,glass_blur,stability_loco,p03,5,0.5172399999999999,0.045659431233107985,1.436269501760985,0.6042696244390922,0.24900156441106272,0.4016
ViT-B-32,openai,glass_blur,clean_selected,p03,5,0.5172399999999999,0.045659431233107985,1.436269501760985,0.6042696244390922,0.24900156441106272,0.4016
ViT-B-32,openai,glass_blur,oracle_upper_bound,p03,5,0.5172399999999999,0.045659431233107985,1.436269501760985,0.6042696244390922,0.24900156441106272,0.4016
ViT-B-32,openai,glass_blur,probability_ensemble,ensemble,5,0.5166,0.07487010231554503,1.461852156213439,0.6140210448105412,0.2525762262061623,0.40359999999999996
ViT-B-32,openai,impulse_noise,default,p00,5,0.6264999999999998,0.03898177111208434,1.0656781164704232,0.47336808819487197,0.1688535410430923,0.283575
ViT-B-32,openai,impulse_noise,stability_loco,p03,5,0.63722,0.05377602372527117,1.031961175521594,0.4644943995573807,0.16969414271016967,0.27969999999999995
ViT-B-32,openai,impulse_noise,clean_selected,p03,5,0.63722,0.05377602372527117,1.031961175521594,0.4644943995573807,0.16969414271016967,0.27969999999999995
