model,pretrained,corruption,severity,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,ece_mean,ece_std,ece_min,ece_max,nll_mean,nll_std,nll_min,nll_max,brier_mean,brier_std,brier_min,brier_max,aurc_mean,aurc_std,aurc_min,aurc_max,risk_at_80_mean,risk_at_80_std,risk_at_80_min,risk_at_80_max
RN50,openai,impulse_noise,3,0.3262083333333333,0.041490227947692894,0.2686,0.379,0.09436052090103421,0.04035394564235579,0.0417516547247767,0.1731966079548001,1.850196706359742,0.10248660843116887,1.7084146414998584,2.046080789747164,0.7711523529036485,0.02772766779324383,0.7309894810862352,0.8118432779188346,0.4621500956996134,0.04876542179830984,0.4043848421047968,0.5312787334535602,0.62846875,0.04880707978287388,0.566875,0.698
RN50,openai,impulse_noise,4,0.200175,0.026734149934629914,0.1615,0.2425,0.12243798275943842,0.059442792286811964,0.0459460485763847,0.2232468329191207,2.217228332694284,0.15360175261847184,2.011358708866334,2.521654979429108,0.8690642072225776,0.030304653439965586,0.82368651682864,0.9134781383417314,0.6491794536195122,0.04061425664731116,0.5840082312676501,0.7096282047442825,0.7722083333333334,0.031968571806280835,0.719625,0.82425
RN50,openai,impulse_noise,5,0.148225,0.017197363698596892,0.1253,0.1792,0.1462107449977348,0.06243940097892462,0.0502688984572887,0.246547847354412,2.4143368294967225,0.18582525481738138,2.167539408541816,2.777659310109964,0.9135334286972118,0.03151947127169446,0.8661444426061278,0.960364176403613,0.7510542495345779,0.030867203796208234,0.6969440261252101,0.7902747526969263,0.8321875,0.019942281771972017,0.795625,0.86375
RN50,openai,jpeg_compression,1,0.5334583333333334,0.035719754105163336,0.4759,0.5812,0.07325183874399709,0.04911114999684585,0.0132115186393261,0.1956060388296842,1.303822257089987,0.06144938369249559,1.2159603465818385,1.383581108161947,0.5932340371657031,0.02579004859561778,0.560366203043719,0.6330212485224249,0.2546494508115395,0.03093956671631585,0.2211724912453457,0.3085316907944474,0.3943229166666667,0.039674974162696136,0.341125,0.457875
RN50,openai,jpeg_compression,2,0.472925,0.036094651454701206,0.4078,0.5162,0.0695758859371766,0.04170220122625076,0.0245034965649247,0.1709873909071087,1.4579694094441182,0.06408362229980419,1.3728889668927289,1.5585107289430495,0.6514970025429984,0.026740791346912863,0.6198597443782512,0.6989262259820224,0.3163632706179843,0.034866410376658434,0.277168588036956,0.3761982289012252,0.46189583333333334,0.03986232818505881,0.413,0.534125
RN50,openai,jpeg_compression,3,0.449475,0.03767927148977274,0.3814,0.4922,0.06833944804767762,0.03996849297597722,0.0193079361110925,0.1612891443736851,1.5215906934293086,0.06728917456669957,1.4342928194543572,1.6380552840693872,0.675188141620743,0.027877121498005066,0.6436076965149281,0.7278871357484054,0.3469359317351269,0.03845976745364962,0.3067067501780467,0.417683623873913,0.48774999999999996,0.04198515024278334,0.437625,0.5645
RN50,openai,jpeg_compression,4,0.42455,0.03770344811817616,0.3509,0.4678,0.0668634389009947,0.04039163862788596,0.0163799969837069,0.1506716568514704,1.5833374466619226,0.07091777377897904,1.493967683637588,1.7174633268323884,0.6966408117179729,0.02933764007675133,0.6650148334112023,0.7559458646293175,0.37405751348880156,0.04039144767242376,0.3343408958311806,0.4518261423459518,0.51721875,0.04220455884062549,0.467125,0.60125
RN50,openai,jpeg_compression,5,0.38833333333333336,0.03798804437124284,0.3127,0.4277,0.06589749024696641,0.0434887927772573,0.0113664553523063,0.1530897502258419,1.6783521547716047,0.07875705496848741,1.5849725522027474,1.840083739019424,0.7285741297679298,0.03272160046650336,0.6957472963481887,0.7979530363574967,0.4181077752912518,0.046303884665426835,0.3743203631314705,0.5122158140111517,0.5582708333333333,0.04407434426023485,0.5145,0.647125
RN50,openai,motion_blur,1,0.5571499999999999,0.03951063148065341,0.4887,0.627,0.055476023793841346,0.0525067743514379,0.0175767427340149,0.1897197009712457,1.2139027141756482,0.06425845220721482,1.1328764066292707,1.338516070515513,0.5625802332584565,0.029339011909331334,0.5293277477765818,0.6271923812617444,0.23074473327215872,0.03196526312470113,0.1739818221753502,0.2835877136572878,0.36814583333333334,0.04095614455139975,0.2925,0.439625
RN50,openai,motion_blur,2,0.44908333333333333,0.045749035426162175,0.3796,0.5348,0.08437353947206085,0.05307137610918667,0.0184501415729522,0.1966538335576653,1.4816897258215258,0.09909191457778682,1.3751935729107,1.6757206486450409,0.6726624492747533,0.040472289744164947,0.627243471069232,0.7595336046177797,0.34953661909964223,0.04418544941531834,0.2636385460233709,0.4097136927717676,0.4933125,0.04911001969141234,0.400125,0.57
