model,pretrained,prompt_id,prompt_template,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,ece_mean,ece_std,ece_min,ece_max,nll_mean,nll_std,nll_min,nll_max,brier_mean,brier_std,brier_min,brier_max,aurc_mean,aurc_std,aurc_min,aurc_max,risk_at_80_mean,risk_at_80_std,risk_at_80_min,risk_at_80_max
RN50,openai,p10,a natural image containing {label}.,0.48490933333333336,0.1498513372983041,0.1581,0.7197,0.07737190055370327,0.026844008820878864,0.0207069311991334,0.1289277661859989,1.431245795102604,0.3659657959928867,0.8616013927218819,2.2107067036624417,0.626492605539291,0.1341337239003525,0.3996374715644569,0.8818117253492026,0.3139114568201204,0.16757049386954,0.0970068887682441,0.7260450387308786,0.44848166666666667,0.17011928532279566,0.187875,0.822
RN50,openai,p11,"{label}, shown in a photograph.",0.39004266666666665,0.14642732739830022,0.1299,0.6466,0.15297291021833812,0.0920296873309,0.0247380281478166,0.3501996360108256,1.714448635168156,0.5181496229187389,0.9488731242616432,2.8691502527937307,0.7331935618328357,0.1660804035284107,0.4507732873426512,1.0528455548815283,0.4128808233202512,0.18908549726376186,0.1378869496512885,0.807724454000072,0.5559833333333333,0.17131587844777654,0.25875,0.862125
ViT-B-32,openai,p00,a photo of a {label}.,0.707336,0.13872909985271997,0.3548,0.8817,0.042030762639919866,0.016356511161011437,0.0132739355772733,0.1028966362550854,0.8564698943552761,0.3761176323200019,0.3818474683356195,1.7920615198638097,0.3830896243229147,0.15579737019565165,0.1767340600699082,0.7524564570382534,0.11567994364926856,0.10123513089923182,0.0210367296747407,0.4328976268510533,0.20180333333333333,0.1463490484838119,0.04,0.59175
ViT-B-32,openai,p01,a photograph depicting {label}.,0.7200266666666667,0.14345415063124986,0.3799,0.8924,0.06886581250259276,0.024343085969867728,0.0172031223461031,0.1094592077106237,0.8510003735599131,0.39112915591779407,0.371346713005766,1.7788439662117868,0.3785463386285045,0.1611775078262767,0.1681518539072035,0.7434901754018302,0.11549823797053935,0.10416917936994208,0.019196731987038,0.4179766707118226,0.19601,0.14821191964548602,0.034,0.564
ViT-B-32,openai,p02,an image of the object {label}.,0.7115066666666666,0.14865690894329997,0.3552,0.8921,0.09556924605208632,0.025900191304598613,0.0356532722413539,0.1429146621465682,0.9062325520763286,0.4025517801422032,0.4119944255884848,1.8772901596726108,0.3960148101835295,0.1615515604126102,0.1817721279003886,0.7621377495029629,0.12293797997585815,0.10774837625662365,0.0219619809556172,0.4442835584223835,0.20368333333333333,0.1521567419710749,0.039375,0.58675
ViT-B-32,openai,p03,a picture showing {label}.,0.7201626666666666,0.13624021985561502,0.3906,0.8907,0.05199216160380835,0.016274475702007407,0.0198811858654021,0.0987114820316433,0.8289002133776678,0.37010035920713247,0.3633055215623467,1.714797466895429,0.372619325816213,0.15367394490650182,0.1682562424483504,0.7249723929068619,0.1099417155310316,0.09531973512909904,0.0192319924578261,0.3969822522469078,0.19227166666666667,0.1396757003047797,0.036,0.5495
ViT-B-32,openai,p04,this image shows {label}.,0.719504,0.136179973762863,0.378,0.8907,0.05547216090363259,0.01734144967151461,0.0207718609824776,0.0926884992584586,0.8313485744277296,0.36685114400500757,0.3705486847547801,1.7002706065089976,0.37305473848480003,0.15299797442702037,0.1704040816035031,0.723797953162629,0.10981984709020405,0.09581089620538714,0.0193143919892735,0.4016326859408811,0.19301,0.1409483815688988,0.036125,0.56525
ViT-B-32,openai,p05,the main subject in this image is {label}.,0.705936,0.14765326223503714,0.3266,0.8871,0.09056275286797678,0.025306611925595763,0.0357595840215683,0.1296468484088778,0.887435843455102,0.3728938575657295,0.4191905246201922,1.78067104866789,0.39269922353620734,0.15587003578362077,0.185867998225158,0.759037466216976,0.11950713998665302,0.10725883713282393,0.0212071508269384,0.4566871721874337,0.20648833333333333,0.15459100651775048,0.03775,0.627375
ViT-B-32,openai,p06,the object depicted here is {label}.,0.7127479999999999,0.13419239753710624,0.3953,0.886,0.12536455804069835,0.02620864137858335,0.0539318598434329,0.1574198328867554,0.9248832844709134,0.34868005604972124,0.4612963379555218,1.7158267780660963,0.40053813894830165,0.1460203152407644,0.1979498538416143,0.7152094253461507,0.11218733028979765,0.09370378876275681,0.0214721383961972,0.3756157455702243,0.19813,0.1384210543126551,0.04125,0.541875
ViT-B-32,openai,p07,a visual representation of {label}.,0.696416,0.14500325908732511,0.3275,0.8748,0.09636434791237113,0.028064300818163055,0.036317103472352,0.1391398209735751,0.9432928016712623,0.3722396644383402,0.4618985518086059,1.8281315514271528,0.41075526042195576,0.1544783357993679,0.2011158491652223,0.7627622165845205,0.127400631265519,0.1085529785722548,0.024314465989059,0.4608343947994961,0.21615666666666664,0.15319891775368683,0.044875,0.623125
ViT-B-32,openai,p08,an example image of the class {label}.,0.6852106666666666,0.1525863163548382,0.3419,0.8643,0.10015495780733223,0.030060469141305293,0.0311785820186138,0.1486202472761273,1.02757181826669,0.4371784487432749,0.527098440028035,2.1307212168659024,0.4369239432070469,0.16003544090048746,0.2339264072077507,0.7951194570368291,0.14477948985159686,0.11855597457967808,0.0339584126995358,0.480728685946211,0.23098166666666667,0.1602027309028742,0.061125,0.609875
ViT-B-32,openai,p09,this picture contains {label}.,0.6991080000000001,0.14315793183979947,0.369,0.8846,0.07676236454677578,0.027484692494546745,0.0253005239412188,0.1155040800675749,0.9137240374994504,0.3798715845809246,0.4262273256596141,1.804482005935487,0.39945224934487655,0.1552165880604021,0.1885001370193391,0.7389231836485561,0.12181214432076537,0.10301322822541066,0.0236744371606518,0.4049573161565337,0.21111,0.15033530788639538,0.04,0.57525
ViT-B-32,openai,p10,a natural image containing {label}.,0.7070186666666667,0.13781119545520534,0.3888,0.8792,0.05014381116664405,0.019146714387245016,0.0136237988457083,0.0810282436147332,0.8795686106212507,0.3707471433941863,0.405684395384379,1.7369532529117488,0.3873560650601496,0.15372836362756187,0.1828584263821271,0.723189955779697,0.11605050700633697,0.09875944993112584,0.021805507081558,0.3863764182796425,0.20442,0.14496976274894874,0.039875,0.555125
ViT-B-32,openai,p11,"{label}, shown in a photograph.",0.7197346666666666,0.13869735913358494,0.3767,0.8871,0.07219877159255737,0.020891628941738606,0.0268304010152816,0.1320469124153256,0.8589052062374622,0.38033770053674504,0.3888619574035087,1.75725703788085,0.38318954050621984,0.15509317046851143,0.1788158113755468,0.736127386412272,0.11728969900552379,0.10024766856400763,0.0229154645726435,0.4170062527407684,0.19866,0.14213563623468198,0.04325,0.567875
