model,pretrained,metric,n_corruptions,default_mean,stability_loco_mean,mean_delta_stability_minus_default,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_value,p_value_holm_within_model,p_value_holm_global,result_at_global_alpha_0_05
RN50,openai,accuracy,15,0.472908,0.4831826666666667,0.0102746666666666,0.0068345666666666,0.0139160666666666,0.00018310546875,0.00054931640625,0.00091552734375,improved
RN50,openai,ece,15,0.0616449884985088,0.0809535519888003,0.0193085634902914,0.0091278491582334,0.0283797865021208,0.00262451171875,0.0052490234375,0.010498046875,worsened
RN50,openai,aurc,15,0.3204971782680252,0.3159188577406933,-0.0045783205273319,-0.0082926459874458,-0.0006643929593178,0.072998046875,0.072998046875,0.072998046875,no significant change
ViT-B-32,openai,accuracy,15,0.707336,0.7201626666666667,0.0128266666666666,0.0089625999999999,0.0165787666666666,0.0001220703125,0.0003662109375,0.000732421875,improved
ViT-B-32,openai,ece,15,0.0420307626399198,0.0519921616038083,0.0099613989638884,0.0043998690294985,0.0143693184428403,0.01025390625,0.01025390625,0.0205078125,worsened
ViT-B-32,openai,aurc,15,0.1156799436492685,0.1099417155310315,-0.0057382281182369,-0.0099732597348046,-0.0020162338982516,0.0042724609375,0.008544921875,0.0128173828125,improved
