model,pretrained,metric,n_corruptions,n_prompts,mean_within_condition_prompt_range,maximum_within_condition_prompt_range,maximum_range_condition,range_unit,friedman_chi_square,p_value,p_value_holm_global,kendall_w,kendall_w_ci95_low,kendall_w_ci95_high,bootstrap_samples
RN50,openai,accuracy,15,12,11.6644,18.790000000000003,zoom_blur severity 4,percentage points,149.1538461538462,2.219015465658947e-26,1.1095077328294736e-25,0.9039627039627042,0.8539222999223001,0.9492152292152288,10000
RN50,openai,ece,15,12,18.55240046390792,29.76760856360197,gaussian_noise severity 5,percentage points,59.81025641025644,1.0055801972410606e-08,1.0055801972410606e-08,0.3624864024864027,0.260979020979021,0.6145485625485624,10000
RN50,openai,aurc,15,12,0.1152095448498617,0.19225554801991734,glass_blur severity 1,absolute AURC,135.12307692307695,1.5945841334837464e-23,6.378336533934985e-23,0.8189277389277391,0.6932385392385391,0.9166449106449108,10000
ViT-B-32,openai,accuracy,15,12,4.753866666666668,10.659999999999997,glass_blur severity 4,percentage points,110.4564102564102,1.4850663193454457e-18,4.4551989580363374e-18,0.6694327894327892,0.5979393939393942,0.78797668997669,10000
ViT-B-32,openai,ece,15,12,9.107814005814992,12.328752185851341,shot_noise severity 2,percentage points,149.59487179487178,1.803362856493249e-26,1.0820177138959494e-25,0.9066355866355864,0.8630613830613831,0.9533799533799532,10000
ViT-B-32,openai,aurc,15,12,0.03955045823320395,0.11388808557822211,impulse_noise severity 5,absolute AURC,109.6358974358974,2.165823366294777e-18,4.4551989580363374e-18,0.6644599844599842,0.6000606060606059,0.7835602175602178,10000
