model,pretrained,metric,n_prompts,n_conditions,ss_total,ss_prompt,ss_condition,ss_interaction,prompt_share,condition_share,interaction_share
RN50,openai,accuracy,12,75,21.01916837328889,0.9176603658222214,19.89470446662222,0.2068035408444444,0.043658262283506,0.9465029307203402,0.0098388069961535
RN50,openai,ece,12,75,2.852951760812348,0.8343256142568042,0.4013221498776006,1.617303996677944,0.2924429447833491,0.1406690976658253,0.5668879575508257
RN50,openai,aurc,12,75,28.5510405930654,0.8994175580380901,27.293920344313037,0.3577026907142717,0.0315020937715504,0.9559693719514482,0.0125285342770011
ViT-B-32,openai,accuracy,12,75,17.9981455371,0.0997058355,17.79980651293334,0.0986331886666667,0.0055397838235319,0.988980029983766,0.0054801861927025
ViT-B-32,openai,ece,12,75,1.0114217054370205,0.5175793705342385,0.3670862678917869,0.1267560670109947,0.5117344899283135,0.3629408642492742,0.1253246458224122
ViT-B-32,openai,aurc,12,75,9.511366710729082,0.0753353275034874,9.35361769270608,0.0824136905195144,0.007920557559673,0.9834146844695772,0.0086647579707498
