model,pretrained,policy,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,aurc_mean,aurc_std,risk_at_80_mean,risk_at_80_std
RN50,openai,clean_selected,0.478284,0.1207978127048901,0.0668619240441321,0.0150711800040862,1.4314444342643406,0.3149999512309617,0.6276092366863967,0.1109711408878289,0.3240954773775325,0.1361319883009793,0.4577233333333333,0.1371510476193865
RN50,openai,default,0.472908,0.1151693128274318,0.0616449884985088,0.0168376121388937,1.4452261848244112,0.3125348864782628,0.6305818533471149,0.1079451874361727,0.3204971782680252,0.1274052968843453,0.4594,0.1318495733781493
RN50,openai,oracle_upper_bound,0.5026186666666667,0.1196133457596163,0.1236023525078792,0.0573320059104923,1.463426145892227,0.2788989455382909,0.6348242528172258,0.0998510966652902,0.3060063435946119,0.129055565914254,0.4315266666666666,0.1332742518357576
RN50,openai,probability_ensemble,0.4704493333333333,0.117617178256207,0.0835117158195574,0.0221911193653079,1.4622316928455017,0.3037142160293804,0.637190281562702,0.1059700192547552,0.3286780392250387,0.1320263814184943,0.4640683333333333,0.1327802227052909
RN50,openai,stability_loco,0.4831826666666667,0.1181421545346758,0.0809535519888003,0.017718819384853,1.4423392245312645,0.3029824197951207,0.6296982748226172,0.1089315491444942,0.3159188577406933,0.130803015528847,0.45022,0.1336488700449267
ViT-B-32,openai,clean_selected,0.7201626666666667,0.1073123198536913,0.0519921616038083,0.0144559892529699,0.828900213377668,0.2935158217791578,0.372619325816213,0.1214233245463877,0.1099417155310315,0.0733307448447136,0.1922716666666666,0.1096710673961438
ViT-B-32,openai,default,0.707336,0.1101814698447196,0.0420307626399198,0.0113877441805783,0.8564698943552761,0.298459377785405,0.3830896243229146,0.1242445531376208,0.1156799436492685,0.0792617816932979,0.2018033333333333,0.1166530653976425
ViT-B-32,openai,oracle_upper_bound,0.7251506666666666,0.1065035247885296,0.0611940406439601,0.0186444974944869,0.8256394959053197,0.2905777046660395,0.3702262639003322,0.1205092851761352,0.1078062023787534,0.0727681287838839,0.1885883333333333,0.1088918220835094
ViT-B-32,openai,probability_ensemble,0.7264533333333334,0.108815620114726,0.0992128802183568,0.0214638311295342,0.8552508198809864,0.2855327461320673,0.3772803006723363,0.120278795626533,0.1087776454915592,0.0745226183599336,0.1885033333333333,0.1106998237136721
ViT-B-32,openai,stability_loco,0.7201626666666667,0.1073123198536913,0.0519921616038083,0.0144559892529699,0.828900213377668,0.2935158217791578,0.372619325816213,0.1214233245463877,0.1099417155310315,0.0733307448447136,0.1922716666666666,0.1096710673961438
